video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=LqM-kdPqe6Y&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@ForbesIndia,Forbes India,The Future of Customer Service: Transforming CX for Success,觀看次數：7次,37 分鐘前,Explore the strategies shaping the future of customer experience at Freshworks Tech Shots 2023! Tailored for senior CX ...,2024-01-31 06:04:15.026708
/watch?v=ibuPCHpGaEg&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@VVVSI_CAREER_GUIDELINES,VVVSI CAREER GUIDELINES,Matrimony நிறுவனத்தில் Customer Service Executive வேலை  வாய்ப்புகள் 2024 #job #jobs2024,觀看次數：436次,21 小時前,Tamilnadu Job Notification - Latest Jobs 2024 1. Company Names matrimony.com 2. Address Street Address : No :94 / 95 R R ...,2024-01-31 06:04:15.029661
/watch?v=jJ2Heduor50&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@voc_ai,VOC AI ,Voc.ai chatbot – a new customer service AI agent – boosts business productivity,觀看次數：0次,3 小時前,"Voc.ai, a Hong Kong-based cutting-edge AI SaaS company, has recently secured more than $12 million in funding from top-tier ...",2024-01-31 06:04:15.034260
/watch?v=swIoG85qyvw&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@todayit250,TodayIT,bot9 Review Appsumo - Quickly Build Customer Service With Chatbot,觀看次數：0次,16 小時前,Today I Will Try https://appsumo.8odi.net/eKPYAr bot9 Review Appsumo - Quickly Build Customer Service With Chatbot | Unify ...,2024-01-31 06:04:15.037255
/watch?v=AdbGd1zaW-U&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@RemotelyKat,Kat Lewis,Remote Jobs 2024: 4 High-Paying Customer Service Jobs  | USA,觀看次數：0次,15 小時前,"When it comes to the best remote jobs 2024, Customer Service tops the list. And if it's a high-paying remote job, that makes it even ...",2024-01-31 06:04:15.040107
/watch?v=S8M5DiyfjTU&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@DigitalUnraveled,Digital Unraveled,How To Contact H&M Customer Service,觀看次數：0次,3 分鐘前,Learn How To Contact H&M Customer Service ▻ Consider subscribing if this helped you out: ...,2024-01-31 06:04:15.043041
/watch?v=DQJit66SyFQ&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@christelannescala7484,Vegan Teacher Ann,Customer Service Representative Introduction Video,觀看次數：3次,12 小時前,csr #customerservicerepresentative #englishspeaking #introduction #introduceyourself.,2024-01-31 06:04:15.046303
/watch?v=UMiK3g9vMXI&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@tmackvirtualopps,"T Mack Virtual Services, LLC",Work at Home Customer Service Representatives Needed! $19/HR,觀看次數：1次,2 小時前,Working Solutions seeks helpful and tech savvy independent contractors for a one-of-a-kind opportunity providing customer ...,2024-01-31 06:04:15.051907
/watch?v=aByionsLig0&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@AnilKumar-qw9lt,Anil Kumar,Parimatch third class customer service,觀看次數：0次,9 小時前,In this viedeo you are going to see how third class is parimatch customer support.I still not received 22000rs withdrawal made last ...,2024-01-31 06:04:15.055052
/watch?v=IiQeh_QNzOQ&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@Explained-zp6yj,Explained!,How To Contact Amazon Customer Service  (easy),觀看次數：0次,7 小時前,"How To Contact Amazon Customer Service If you want to learn more about this topic, subscribe to this channel. Did you ...",2024-01-31 06:04:15.058143
/watch?v=F2kJeD_cl5w&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@SingleStepEnglish,Single Step English,Mastering Customer Service: Role Play Training for Call Center Agents | Handling Rude Customers,觀看次數：1498次,3 週前,Welcome to Single Step English's role play training series designed exclusively for call center agents and professionals in the ...,2024-01-31 06:04:15.061014
/watch?v=3RD68vJmJDM&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@AwkwardPuppets,Awkward Puppets,Customer Service (Ep. 3) | Awkward Puppets,觀看次數：325萬次,3 年前,#Puppets #AwkwardPuppets #Diego #RudyMancuso.,2024-01-31 06:04:15.064081
/watch?v=bL_D-qyva0c&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@VALUETAINMENT,Valuetainment,Customer Service Vs. Customer Experience,觀看次數：161萬次,7 年前,Customer service vs. customer experience; Do you know the difference? One of the best exercises for you to do is make a list of ...,2024-01-31 06:04:15.067647
/shorts/rU6eWr4j15w,/@TheManniiShow,The Mannii Show,Heaven Hotline Customer Service Be Like #TheManniiShow.com,觀看次數：593萬次,5 個月前,iB: @AriandEla INFLUENCER LIFE behind-the scenes!! @TheManniiShow Weekly Series! Follow MJ for a behind-the-lens ...,2024-01-31 06:04:15.070600
/watch?v=a99gQn9pkOM&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@CareerVidz,CareerVidz,CUSTOMER SERVICE Interview Questions & Answers! (How to PASS a CUSTOMER SERVICE Job Interview!),觀看次數：78萬次,2 年前,CUSTOMER SERVICE INTERVIEW QUESTIONS AND ANSWERS COVERED IN THIS VIDEO: Q. Tell me about yourself. 01:00 Q.,2024-01-31 06:04:15.074592
/watch?v=6HbapLwNMh4&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@LenarrYoung,Lenarr Young,Working in Customer Service,觀看次數：97萬次,2 年前,Follow me on: Twitter: https://twitter.com/lenarr_?lang=en Instagram: https://www.instagram.com/lenarr___/?hl=en.,2024-01-31 06:04:26.314127
/watch?v=nxtaMdu55Ug&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@Accreditedskills,Litmos Heroes,Why Customer Service Matters,觀看次數：37萬次,8 年前,"We all love to receive great customer service. As consumers it makes us feel good. So much so, consumers now rate customer ...",2024-01-31 06:04:26.317505
/watch?v=KGUfNL0jaQ4&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@GarrettTheCarrot,GarrettTheCarrot,Customer Service is Impossible,觀看次數：9萬次,1 個月前,"Sometimes customers are fun, sometimes they're out for blood. You guys on the other hand are the BEST. Thanks for all your ...",2024-01-31 06:04:26.322577
/watch?v=QBTwzYKx-kE&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@Mrwhosetheboss,Mrwhosetheboss,Who has the WORST Customer Service?,觀看次數：630萬次,2 年前,Disclaimer: All the faces of people used in this video to represent employees are purely stock footage and picked randomly based ...,2024-01-31 06:04:26.327079
/watch?v=VQv_LZ9bOnM&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@AwkwardPuppets,Awkward Puppets,Customer Service (Ep. 4) | Awkward Puppets,觀看次數：164萬次,3 年前,#Puppets #AwkwardPuppets #Diego #RudyMancuso.,2024-01-31 06:04:26.330144
/watch?v=2Mvx17k1T8w&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@tholu8,TOLULOPE OLAMIPO _ LAGOS PROPERTY MANAGER,Funny customer service videos,觀看次數：19萬次,5 年前,"Meet the Parents – At the Airport I love the Meet the Parents movies, and this specific scene is a perfect exaggeration of how some ...",2024-01-31 06:04:26.332909
/watch?v=IZXVyXyg4as&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@theworldofmrbean,Mr Bean World,Mr Bean - Bad Customer Service,觀看次數：217萬次,9 年前,The Mr Bean Animated Series heralds a new era for one of the UK's most successful characters of all time. Rowan Atkinson ...,2024-01-31 06:04:26.335621
/watch?v=wmcnDUE-rzk&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@RyanGeorge,Ryan George,What It's Like Dealing With Customer Service Online,觀看次數：165萬次,3 年前,Hi there hello please subscribe so I can feed my cats. Twitter/Instagram: @TheRyanGeorge We're sorry to hear about your ...,2024-01-31 06:04:26.338566
/watch?v=i_8NuOWq2Ng&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@AwkwardPuppets,Awkward Puppets,Customer Service (Ep. 2) | Awkward Puppets,觀看次數：309萬次,7 年前,#Puppets #AwkwardPuppets #Diego #RudyMancuso.,2024-01-31 06:04:26.341474
/watch?v=xag49G_3U8Y&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@CloudEnglish,Cloud English,Customer Service English: Calming Frustrated Customers,觀看次數：7.5萬次,11 個月前,"In this video, you'll learn 16 English customer service expressions that can help non-native customer service representatives ...",2024-01-31 06:04:26.345246
/shorts/obLD4iUObiM,/@liquorstore352,Liquor Store 352 ,THE MOST ANNOYING THING IN CUSTOMER SERVICE!,觀看次數：75萬次,11 個月前,Find new content daily on TikTok and Instagram! Cheers!,2024-01-31 06:04:26.348112
/watch?v=_tx3ReNf1d8&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@CareerVidz,CareerVidz,"""WHAT DOES CUSTOMER SERVICE MEAN TO YOU?"" Interview Questions and TOP-SCORING Answer!",觀看次數：13萬次,3 年前,INTERVIEW TIP #2 – Tell the interviewer that good customer service will encourage the customer to return to the business again ...,2024-01-31 06:04:26.352065
/watch?v=It3j4NkLBKA&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@IndieEntertainmentRBLX,Indie Entertainment,Night Of The Consumers - Customer Service (OST),觀看次數：8.5萬次,3 年前,The yellow shop has various secret documents. --------------------------------------------------------------------------------- Night Of The ...,2024-01-31 06:04:26.354867
/watch?v=9b_cJTvNtyM&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@ZachStarHimself,Zach Star Himself,If customer service workers could say whatever they wanted without consequence,觀看次數：54萬次,2 年前,Sign up for Extra with our link https://extra.app/zachstar and start building your credit with a debit card--yes a debit card. ▻Follow ...,2024-01-31 06:04:26.357698
/shorts/TyHXQUFegUk,/@andyyjiang,Andy Jiang,Worst Customer Service EVER #shorts,觀看次數：641萬次,7 個月前,Thanks for the support! My Other Socials: TikTok: https://www.tiktok.com/@andyyjiang Instagram: ...,2024-01-31 06:04:26.360779
/watch?v=-_ZgGA08kII&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@themadmistake,Themadmistake,Worst Club For Customer Service We Are A Mess! New Players Coming In.,觀看次數：2527次,10 小時前,What a mess Sunderland are in off the pitch worst club for customer service but KLD wants this to be the best Fan Centric club in ...,2024-01-31 06:04:26.363619
/watch?v=bveFPRmF-xM&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@Kwestyon,Kwestyon,Bad vs Great Customer Service | Scenarios with Explanation,觀看次數：13萬次,1 年前,Here's a comparison between bad and good customer service with sample scenarios. This is not only for call center agents but for ...,2024-01-31 06:04:26.367748
/watch?v=tb2rv77YO-w&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@VermontTourism,Vermont Tourism,The Seven Secrets of Exceptional Customer Service - VTIC Presentation by Carrie Gendreau,觀看次數：33萬次,12 年前,Carrie Gendreau's presentation at the 2011 Vermont Travel Industry Conference. Part of the VTIC Lecture Series.,2024-01-31 06:04:26.371528
/watch?v=uYS0XouYilY&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@sebastiancomedy,Sebastian Maniscalco,Sebastian Maniscalco - Customer Service (Aren't You Embarrassed?),觀看次數：205萬次,2 年前,"I was seeing medical masks before the pandemic About My Father, the new feature film starring Sebastian Maniscalco and Robert ...",2024-01-31 06:04:26.374490
/watch?v=hpZFJctBUHQ&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@MagellanSolutionsOutsourcing,Magellan Solutions Outsourcing Inc.,Sample Order Taking | Customer Support Philippines,觀看次數：321萬次,11 年前,The video sample is taken from our order taking call center and shows how a trained agent receives an order over the phone.,2024-01-31 06:04:26.377274
/watch?v=kBkU4Vb4Bro&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@CalebCity,CalebCity,When you get pass the first TWO questions with customer support.,觀看次數：282萬次,1 年前,Music Oddwin - 19.,2024-01-31 06:04:37.745337
/watch?v=Tb1n6Mb-RJE&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@SpeakEnglishWithVanessa,Speak English With Vanessa,How to Call Customer Support in English,觀看次數：31萬次,1 年前,"Send us a postcard from your country: Speak English With Vanessa 825 C Merrimon Ave PMB # 278 Asheville, NC 28804 USA ...",2024-01-31 06:04:37.748852
/watch?v=Z7iBFklVU_I&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@Mrwhosetheboss,Mrwhosetheboss,Apple vs Samsung Customer Service Battle!,觀看次數：666萬次,7 個月前,"I spend a LOT of time trying to make my videos as concise, polished and useful as possible for you - if you would like to support ...",2024-01-31 06:04:37.757066
/watch?v=jzsfpDm9KXI&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@trutv,truTV,Impractical Jokers: Inside Jokes - Customer Service Dream Phone | truTV,觀看次數：98萬次,4 年前,"With Q's dream phone you can play customer service representative and listen to funny ""pre-recorded"" messages. #truTV ...",2024-01-31 06:04:37.762272
/watch?v=Zs_hu_ets5g&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@WillMcDaniel,Will McDaniel,Customer Services,觀看次數：392萬次,6 年前,You shouldn't always listen to everything the chicken on tv tells you... Get Dubious Meat Company merch!,2024-01-31 06:04:37.766096
/watch?v=Mni6y_KtsRw&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@StudioCtv,Studio C,Customer Service Hotline,觀看次數：131萬次,4 年前,"Customer Service Hotline. When your high-tech fancy appliance experiences issues, you call the customer service hotline, right?",2024-01-31 06:04:37.771267
/watch?v=ludb98NtUZ4&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@english.tangerineacademy,Learn English with Tangerine Academy,Practice English Conversation to Improve Speaking (Customer service) English Conversation Practice,觀看次數：5.3萬次,7 個月前,"In this video, you will watch and listen an English conversation practice about Practice English Conversation to Improve Speaking ...",2024-01-31 06:04:37.775490
/watch?v=-fDANd-jyxc&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@notevenemily,Not Even Emily,Customer Service is ROUGH.,觀看次數：26萬次,4 個月前,"⟡ Watch these videos ⟡ The Truth About Being Cancelled ➜ https://youtu.be/HIALV5J8dIg The ""Astrology Excuse"" ...",2024-01-31 06:04:37.784354
/watch?v=cUFcptfkHGc&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@jackwhitehall,Jack Whitehall,Customer Service in the UK vs. USA | Jack Whitehall,觀看次數：47萬次,1 年前,The Customer Service difference between the UK and the USA. #JackWhitehall #StandUp #Comedy #LiveAtTheApollo Welcome ...,2024-01-31 06:04:37.789254
/shorts/rJ7te-JvPHk,/@TheManniiShow,The Mannii Show,Customer vs Customer Service #shorts #themanniishow.com,觀看次數：222萬次,1 年前,INFLUENCER LIFE behind-the scenes!! @TheManniiShow Weekly Series! Follow MJ for a behind-the-lens look into the life of an ...,2024-01-31 06:04:37.792337
/shorts/iLObY3h1D_Y,/@iamtonytalks,TonyTalks,Why I Hate Customer Service,觀看次數：105萬次,8 個月前,"Don't forget to like, comment, and subscribe! Thanks for watching and follow me on my other socials! Instagram: ...",2024-01-31 06:04:37.797201
/watch?v=4Qh4lZWlOp8&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@cartoonnetworkuk,Cartoon Network UK,The Amazing World of Gumball | Customer Service Struggles | Cartoon Network UK 🇬🇧,觀看次數：511萬次,4 年前,Gumball and Darwin decide to get jobs in customer service instead of going to school. But working is not as easy as they thought it ...,2024-01-31 06:04:37.800202
/watch?v=ImH05RjcoTQ&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@JMC-The-Director,JMC The Director,"CORPORATE VIDEO- Poor Customer Service Scenario ""What not to do""",觀看次數：23萬次,7 年前,For more CORPORATE safety scenario videos please Subscribe to our channel and check out our Corporate safety playlists.,2024-01-31 06:04:37.802344
/watch?v=CKjWZBuFciI&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@skillsworld1570,Skills World,6 Essential Skills for Customer Service,觀看次數：3.5萬次,2 年前,Customer service skills are traits and practices that equip you to address customer needs and foster a positive experience. In this ...,2024-01-31 06:04:37.807000
/shorts/a-g69fcRd2Q,/@CareerVidz,CareerVidz,TELL ME ABOUT A TIME YOU DELIVERED EXCELLENT CUSTOMER SERVICE! (Customer Service Job Interview Tips),觀看次數：2.3萬次,5 個月前,TELL ME ABOUT A TIME YOU DELIVERED EXCELLENT CUSTOMER SERVICE! (Customer Service Job Interview Tips) ...,2024-01-31 06:04:37.809577
/watch?v=O0FXRPn7A_4&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@amoonalkandari242,Amoon Alkandari,Good vs. Bad customer service,觀看次數：15萬次,6 年前,Created using PowToon -- Free sign up at http://www.powtoon.com/youtube/ -- Create animated videos and animated ...,2024-01-31 06:04:37.814910
/shorts/qG56Yibx34s,/channel/UCOAh7LxxMFBFLeRrKGKhScA,Darryl Mayes,WORKING IN CUSTOMER SERVICE BE LIKE #shorts version,觀看次數：150萬次,1 年前,I bet you this is happening to somebody right now         Comment below what you think! and what you want to see next!,2024-01-31 06:04:37.817346
/watch?v=gpPM-Uv8bog&pp=ygUQY3VzdG9tZXIgc2VydmljZQ%3D%3D,/@elisabeth_hellofrench,Learn French with Elisabeth - HelloFrench,REAL French Phone Conversation with a Customer Service Center ☎️,觀看次數：3.1萬次,7 個月前,----------------------------------------- Inscris-toi à ma newsletter et bénéficie de -30 % sur tous mes cours en ligne ...,2024-01-31 06:04:37.822168
